PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime
N12040HWGA,R5,C703,3,1.0,2025-07-03,13:04:02,N12040HWGA,2025-07-03 13:04:02
C7531137320,SDHN,J761,3,1.0,2025-07-05,09:14:02,C7531137320,2025-07-05 09:14:02
C8161125031,SDHN,J761,3,2.0,2025-07-05,09:14:02,C8161125031,2025-07-05 09:14:02
C8113037341,SDHN,J761,3,1.0,2025-07-05,09:14:02,C8113037341,2025-07-05 09:14:02
C7531137320,SDHN,J761,3,1.0,2025-07-05,09:44:04,C7531137320,2025-07-05 09:44:04
C812100W010,SDHN,J761,3,1.0,2025-07-05,09:14:02,C812100W010,2025-07-05 09:14:02
C7531137330,SDHN,J761,3,1.0,2025-07-05,09:44:04,C7531137330,2025-07-05 09:44:04
A9052077001,R6,A712,3,2.0,2025-07-08,15:38:03,A9052077001,2025-07-08 15:38:03
C89425E0120,R5,J753,3,1.0,2025-07-04,10:36:08,C89425E0120,2025-07-04 10:36:08
A85214F4030,R13,C709,3,1.0,2025-07-02,14:34:02,A85214F4030,2025-07-02 14:34:02
A848200D160,R17,A709,3,1.0,2025-07-04,11:38:10,A848200D160,2025-07-04 11:38:10
C8318137210,R12,J704,3,1.0,2025-07-02,15:16:03,C8318137210,2025-07-02 15:16:03
CSZ91044G44,R5,J703,3,1.0,2025-07-02,14:40:05,CSZ91044G44,2025-07-02 14:40:05
C88280E0051,R9,J752,3,1.0,2025-07-04,11:10:07,C88280E0051,2025-07-04 11:10:07
A85212F4011,R13,C709,3,1.0,2025-07-02,14:34:02,A85212F4011,2025-07-02 14:34:02
A4350206080,R6,A712,3,2.0,2025-07-08,15:38:03,A4350206080,2025-07-08 15:38:03
A90369T0007,R6,A712,3,1.0,2025-07-08,15:38:03,A90369T0007,2025-07-08 15:38:03
CS4703E0N00,R5,J753,3,2.0,2025-07-04,11:06:03,CS4703E0N00,2025-07-04 11:06:03
D4853148113,R5,C751,3,2.0,2025-07-04,09:48:04,D4853148113,2025-07-04 09:48:04
D4525428040,R4,A754,3,1.0,2025-07-07,16:44:04,D4525428040,2025-07-07 16:44:04
C2335578391,S01,J754,3,1.0,2025-07-05,15:42:01,C2335578391,2025-07-05 15:42:01
D4525333110,R4,A754,3,1.0,2025-07-07,16:44:04,D4525333110,2025-07-07 16:44:04
A4860902340,R13,C709,3,1.0,2025-07-03,12:02:04,A4860902340,2025-07-03 12:02:04
6C07C4009571G3,R8,C719,3,1.0,2025-07-02,08:40:06,6C07C4009571G3,2025-07-02 08:40:06
G9003116069,R5,J753,3,30.0,2025-07-02,08:52:01,G9003116069,2025-07-02 08:52:01
A6233102400,R8,C719,3,1.0,2025-07-02,09:26:02,A6233102400,2025-07-02 09:26:02
A162610T051,R6,A713,3,1.0,2025-07-01,14:06:01,A162610T051,2025-07-01 14:06:01
A165730T050,R6,A713,3,1.0,2025-07-01,14:06:01,A165730T050,2025-07-01 14:06:01
A165710T100,R6,A713,3,1.0,2025-07-01,14:06:01,A165710T100,2025-07-01 14:06:01
A165720T090,R6,A713,3,1.0,2025-07-01,14:06:01,A165720T090,2025-07-01 14:06:01
A4773033381,R19,C717,3,1.0,2025-07-01,14:18:02,A4773033381,2025-07-01 14:18:02
C23304EV096,R5,J753,3,10.0,2025-07-02,08:52:01,C23304EV096,2025-07-02 08:52:01
N15607173383,R5,J753,3,10.0,2025-07-02,08:52:01,N15607173383,2025-07-02 08:52:01
C51783E0050,SDHN,J761,3,1.0,2025-07-08,10:42:03,C51783E0050,2025-07-08 10:42:03
A4504709040,R18,B721,3,1.0,2025-07-08,10:52:04,A4504709040,2025-07-08 10:52:04
A4504609120,R18,B721,3,1.0,2025-07-08,10:52:04,A4504609120,2025-07-08 10:52:04
A9031135068,R5,C73H,3,1.0,2025-07-08,10:24:04,A9031135068,2025-07-08 10:24:04
A9017722001,R5,C73H,3,1.0,2025-07-08,10:24:04,A9017722001,2025-07-08 10:24:04
C11118E0011,R5,J753,3,5.0,2025-07-08,11:18:03,C11118E0011,2025-07-08 11:18:03
G3147037081,R5,J753,3,4.0,2025-07-08,11:18:03,G3147037081,2025-07-08 11:18:03
A4806809025,R18,B721,3,1.0,2025-07-08,10:52:04,A4806809025,2025-07-08 10:52:04
A31234BZ031,R19,A713,3,1.0,2025-07-08,11:58:06,A31234BZ031,2025-07-08 11:58:06
A8482002290,R18,G702,3,1.0,2025-07-09,10:52:03,A8482002290,2025-07-09 10:52:03
CS840511041,R12,J704,3,1.0,2025-07-09,10:16:02,CS840511041,2025-07-09 10:16:02
C5213637011,SDHN,J761,3,1.0,2025-07-09,08:56:02,C5213637011,2025-07-09 08:56:02
CSN35110613,R5,J753,3,1.0,2025-07-09,08:56:01,CSN35110613,2025-07-09 08:56:01
A8831002A02,S06,A703,8,1.0,2025-07-05,17:18:05,A8831002A02,2025-07-05 17:18:05
G3140137011,R5,J753,3,2.0,2025-07-04,12:00:20,G3140137011,2025-07-04 12:00:20
G1780158040,R5,J753,3,1.0,2025-07-04,12:00:20,G1780158040,2025-07-04 12:00:20
A5386606090,R8,C724,3,1.0,2025-07-09,09:54:04,A5386606090,2025-07-09 09:54:04
CS276104910,R5,J753,3,1.0,2025-07-04,12:00:20,CS276104910,2025-07-04 12:00:20
CS234011640,R5,J753,3,10.0,2025-07-04,12:00:20,CS234011640,2025-07-04 12:00:20
A3366112020,R11,C714,3,1.0,2025-07-03,14:14:02,A3366112020,2025-07-03 14:14:02
A9031135045,R11,C714,3,1.0,2025-07-03,14:14:02,A9031135045,2025-07-03 14:14:02
CS4601EV052,R12,J704,3,2.0,2025-07-02,15:16:03,CS4601EV052,2025-07-02 15:16:03
CSZ12610015,R10,J718,3,4.0,2025-07-02,17:00:10,CSZ12610015,2025-07-02 17:00:10
C1720178320,R10,J718,3,1.0,2025-07-02,17:00:10,C1720178320,2025-07-02 17:00:10
CS241091860,R10,J718,3,1.0,2025-07-02,17:00:10,CS241091860,2025-07-02 17:00:10
CSZ11610171,R10,J718,3,2.0,2025-07-02,17:00:10,CSZ11610171,2025-07-02 17:00:10
CSZ91016223,R10,J718,3,4.0,2025-07-02,17:00:10,CSZ91016223,2025-07-02 17:00:10
A2227131040,R11,C714,3,1.0,2025-07-04,14:28:02,A2227131040,2025-07-04 14:28:02
CSL72201210,R10,J718,3,2.0,2025-07-02,17:00:10,CSL72201210,2025-07-02 17:00:10
CSL72201415,R10,J718,3,2.0,2025-07-02,17:00:10,CSL72201415,2025-07-02 17:00:10
C15472E0050,R10,J718,3,1.0,2025-07-02,17:00:10,C15472E0050,2025-07-02 17:00:10
A4833133032,M1,C733,8,2.0,2025-07-01,07:38:01,A4833133032,2025-07-01 07:38:01
A4834132054,M1,C733,8,2.0,2025-07-01,07:38:01,A4834132054,2025-07-01 07:38:01
A4825806030,M1,C733,8,2.0,2025-07-01,07:38:01,A4825806030,2025-07-01 07:38:01
A4815806160,M1,C733,8,2.0,2025-07-01,07:38:01,A4815806160,2025-07-01 07:38:01
A4875006090,M1,C733,8,1.0,2025-07-01,07:38:01,A4875006090,2025-07-01 07:38:01
